年份,国家,lg
2019,安哥拉,3.9156165409382764
2018,安哥拉,3.9487405883633087
2017,安哥拉,3.9804290380922063
2016,安哥拉,4.017463517886143
2015,安哥拉,4.0573347365882
2014,安哥拉,4.103304303593573
2013,安哥拉,4.154498485041848
2012,安哥拉,4.209457369322605
2011,安哥拉,4.268577942166303
2010,安哥拉,4.329021349349984
2009,安哥拉,4.388008706351429
2008,安哥拉,4.4467604492404496
2007,安哥拉,4.505239347363042
2006,安哥拉,4.559858963278089
2005,安哥拉,4.611152257665639
2004,安哥拉,4.657762636107262
2003,安哥拉,4.700480365792417
2002,安哥拉,4.73795129722191
2001,安哥拉,4.769836807543325
2019,阿根廷,2.1090003439213802
2018,阿根廷,2.163323025660538
2017,阿根廷,2.2181159363675955
2016,阿根廷,2.272125885509337
2015,阿根廷,2.3243465847755584
2014,阿根廷,2.3749057545736716
2013,阿根廷,2.424802725718295
2012,阿根廷,2.4731713935695794
2011,阿根廷,2.517696472610991
2010,阿根廷,2.558002204858551
2009,阿根廷,2.590767040487478
2008,阿根廷,2.617395832834079
2007,阿根廷,2.6411978941143697
2006,阿根廷,2.6658383522929006
2005,阿根廷,2.6932749155200555
2004,阿根廷,2.7245795030534206
2003,阿根廷,2.7593768282675506
2002,阿根廷,2.7954503913830435
2001,阿根廷,2.8296776892239084
2019,亚美尼亚,2.3523271848888596
2018,亚美尼亚,2.400618833265411
2017,亚美尼亚,2.4518667957098
2016,亚美尼亚,2.503073953743449
2015,亚美尼亚,2.553343811341229
2014,亚美尼亚,2.6034301519721073
2013,亚美尼亚,2.6539459421090092
2012,亚美尼亚,2.7040421797046714
2011,亚美尼亚,2.7549337870010606
2010,亚美尼亚,2.805781689595545
2009,亚美尼亚,2.856470206220483
2008,亚美尼亚,2.907447358686419
2007,亚美尼亚,2.9575110607337933
2006,亚美尼亚,3.007166651179654
2005,亚美尼亚,3.056827372913802
2004,亚美尼亚,3.1059310658520665
2003,亚美尼亚,3.1548704948922883
2002,亚美尼亚,3.202746442938317
2001,亚美尼亚,3.2499868198932536
2019,澳大利亚,1.1151415906193203
2018,澳大利亚,1.1314021114911006
2017,澳大利亚,1.144222799920162
2016,澳大利亚,1.1600209167967532
2015,澳大利亚,1.1817271953786161
2014,澳大利亚,1.208960345836975
2013,澳大利亚,1.244154593958768
2012,澳大利亚,1.2892326482767593
2011,澳大利亚,1.3376291891386096
2010,澳大利亚,1.3862943611198906
2009,澳大利亚,1.430311246536665
2008,澳大利亚,1.472472057360943
2007,澳大利亚,1.506297153514587
2006,澳大利亚,1.536867219599265
2005,澳大利亚,1.5602476682433286
2004,澳大利亚,1.5769147207285403
2003,澳大利亚,1.589235205116581
2002,澳大利亚,1.601405740736836
2001,澳大利亚,1.6154199841116479
2019,奥地利,1.0473189942805592
2018,奥地利,1.0647107369924282
2017,奥地利,1.0818051703517284
2016,奥地利,1.095273387402595
2015,奥地利,1.1151415906193203
2014,奥地利,1.1378330018213911
2013,奥地利,1.169381359556317
2012,奥地利,1.205970806988609
2011,奥地利,1.244154593958768
2010,奥地利,1.275362800412609
2009,奥地利,1.3029127521808397
2008,奥地利,1.324418957401803
2007,奥地利,1.3454723665996355
2006,奥地利,1.3711807233098425
2005,奥地利,1.4011829736136412
2004,奥地利,1.4350845252893227
2003,奥地利,1.4655675420143985
2002,奥地利,1.4883995840570443
2001,奥地利,1.5085119938441398
2019,阿塞拜疆,2.9036169846461855
2018,阿塞拜疆,2.9580304063699794
2017,阿塞拜疆,3.017982882488811
2016,阿塞拜疆,3.0832851705618523
2015,阿塞拜疆,3.151025157960026
2014,阿塞拜疆,3.2200751054436827
2013,阿塞拜疆,3.2872818575322613
2012,阿塞拜疆,3.3541057741283047
2011,阿塞拜疆,3.420346200500916
2010,阿塞拜疆,3.4836986031738992
2009,阿塞拜疆,3.548467300397191
2008,阿塞拜疆,3.610647605844363
2007,阿塞拜疆,3.671733295278966
2006,阿塞拜疆,3.732178378509084
2005,阿塞拜疆,3.792563565390818
2004,阿塞拜疆,3.8550292839080256
2003,阿塞拜疆,3.9182038645032273
2002,阿塞拜疆,3.984157603187345
2001,阿塞拜疆,4.048998460455224
2019,巴哈马,2.3850863145057892
2018,巴哈马,2.411439497906128
2017,巴哈马,2.4362414778067194
2016,巴哈马,2.462149662665384
2015,巴哈马,2.4849066497880004
2014,巴哈马,2.506341930508065
2013,巴哈马,2.5265283244788197
2012,巴哈马,2.547098670044448
2011,巴哈马,2.569554123848285
2010,巴哈马,2.5915163848462583
2009,巴哈马,2.612273245708441
2008,巴哈马,2.6326080059353516
2007,巴哈马,2.6504210882655737
2006,巴哈马,2.663052835171474
2005,巴哈马,2.667922410011431
2004,巴哈马,2.667228206581955
2003,巴哈马,2.6602595372658615
2002,巴哈马,2.6490076604684267
2001,巴哈马,2.63834278867739
2019,巴林,1.7749523509116738
2018,巴林,1.801709800081223
2017,巴林,1.827769906751088
2016,巴林,1.8484548129046001
2015,巴林,1.8687205103641833
2014,巴林,1.8825138324965192
2013,巴林,1.8991179875485542
2012,巴林,1.9213246735826988
2011,巴林,1.9487632180377197
2010,巴林,1.986503546020567
2009,巴林,2.030776369698555
2008,巴林,2.0794415416798357
2007,巴林,2.127040520479115
2006,巴林,2.1713368063840917
2005,巴林,2.21046980408624
2004,巴林,2.2417729535972883
2003,巴林,2.2710944259026746
2002,巴林,2.300583090323373
2001,巴林,2.334083760053417
2019,孟加拉国,3.2422016501716975
2018,孟加拉国,3.286160571673797
2017,孟加拉国,3.331847303527362
2016,孟加拉国,3.377246160839642
2015,孟加拉国,3.4226326623822203
2014,孟加拉国,3.4679210137050633
2013,孟加拉国,3.5127387563950627
2012,孟加拉国,3.558770768766916
2011,孟加拉国,3.605226069116683
2010,孟加拉国,3.652734007477583
2009,孟加拉国,3.701548857214599
2008,孟加拉国,3.750914845033389
2007,孟加拉国,3.8013148834437245
2006,孟加拉国,3.8514233832992164
2005,孟加拉国,3.901366425239617
2004,孟加拉国,3.950859029213344
2003,孟加拉国,3.9996675152801924
2002,孟加拉国,4.048824046920291
2001,孟加拉国,4.098668533702155
2019,巴巴多斯,2.4630018143999504
2018,巴巴多斯,2.4915511925066687
2017,巴巴多斯,2.5185025992165158
2016,巴巴多斯,2.543961412569315
2015,巴巴多斯,2.565718292524414
2014,巴巴多斯,2.583997552432231
2013,巴巴多斯,2.598979106047848
2012,巴巴多斯,2.6093342281630525
2011,巴巴多斯,2.617395832834079
2010,巴巴多斯,2.6253929674212007
2009,巴巴多斯,2.6340447877917144
2008,巴巴多斯,2.642622395779755
2007,巴巴多斯,2.6518325211039815
2006,巴巴多斯,2.659559991941776
2005,巴巴多斯,2.66374994220563
2004,巴巴多斯,2.6651427000909336
2003,巴巴多斯,2.6602595372658615
2002,巴巴多斯,2.6490076604684267
2001,巴巴多斯,2.6340447877917144
2019,白俄罗斯,0.883767540168595
2018,白俄罗斯,0.9439058989071284
2017,白俄罗斯,1.000631880307906
2016,白俄罗斯,1.0577902941478545
2015,白俄罗斯,1.1118575154181303
2014,白俄罗斯,1.169381359556317
2013,白俄罗斯,1.2237754316221157
2012,白俄罗斯,1.2864740258376797
2011,白俄罗斯,1.355835153635182
2010,白俄罗斯,1.4327007339340465
2009,白俄罗斯,1.5173226235262947
2008,白俄罗斯,1.6074359097634274
2007,白俄罗斯,1.7011051009599243
2006,白俄罗斯,1.791759469228055
2005,白俄罗斯,1.8779371654691073
2004,白俄罗斯,1.9629077254238845
2003,白俄罗斯,2.0451088625993306
2002,白俄罗斯,2.128231705849268
2001,白俄罗斯,2.2126603854660587
2019,比利时,1.007957920399979
2018,比利时,1.0438040521731147
2017,比利时,1.0784095813505903
2016,比利时,1.1151415906193203
2015,比利时,1.1537315878891892
2014,比利时,1.1878434223960523
2013,比利时,1.220829921392359
2012,比利时,1.247032293786383
2011,比利时,1.269760544863939
2010,比利时,1.2892326482767593
2009,比利时,1.308332819650179
2008,比利时,1.3297240096314962
2007,比利时,1.3480731482996928
2006,比利时,1.3711807233098425
2005,比利时,1.3937663759585917
2004,比利时,1.4206957878372228
2003,比利时,1.4539530095937054
2002,比利时,1.4883995840570443
2001,比利时,1.5238800240724537
2019,伯利兹,2.359910159613315
2018,伯利兹,2.4150205223238337
2017,伯利兹,2.469793011977952
2016,伯利兹,2.5257286443082556
2015,伯利兹,2.579458966729223
2014,伯利兹,2.6297282343267403
2013,伯利兹,2.6769034721053733
2012,伯利兹,2.7186603802142257
2011,伯利兹,2.7549337870010606
2010,伯利兹,2.785628335747585
2009,伯利兹,2.811208293204836
2008,伯利兹,2.8326249356838407
2007,伯利兹,2.8507065015037334
2006,伯利兹,2.866761892257031
2005,伯利兹,2.8820035082256483
2004,伯利兹,2.8981194446869907
2003,伯利兹,2.9172300453990334
2002,伯利兹,2.9391619220655967
2001,伯利兹,2.9657883971809187
2019,贝宁,4.07753744390572
2018,贝宁,4.101154654150649
2017,贝宁,4.123093975508087
2016,贝宁,4.143769445549624
2015,贝宁,4.162937353687712
2014,贝宁,4.182355439544814
2013,贝宁,4.201253877869777
2012,贝宁,4.22038966907276
2011,贝宁,4.238877712954399
2010,贝宁,4.256888491407381
2009,贝宁,4.274441423993944
2008,贝宁,4.291828366755733
2007,贝宁,4.309590341409169
2006,贝宁,4.327834405590455
2005,贝宁,4.347435189904263
2004,贝宁,4.368181227851829
2003,贝宁,4.38974675768902
2002,贝宁,4.411828125910671
2001,贝宁,4.434144588935989
2019,不丹,3.1717842173343502
2018,不丹,3.2068032436339315
2017,不丹,3.23907053215372
2016,不丹,3.2726061472891685
2015,不丹,3.3087165288679903
2014,不丹,3.349202086543775
2013,不丹,3.3884498088396526
2012,不丹,3.4301087251565754
2011,不丹,3.4763048541489607
2010,不丹,3.525772116243786
2009,不丹,3.57906458810673
2008,不丹,3.6333667441836774
2007,不丹,3.688129172723232
2006,不丹,3.7426571597944074
2005,不丹,3.7970609869584644
2004,不丹,3.8509983035903717
2003,不丹,3.9027804240612136
2002,不丹,3.9529729917571004
2001,不丹,4.001680877358681
2019,博茨瓦纳,3.4738280726970627
2018,博茨瓦纳,3.475067230228611
2017,博茨瓦纳,3.48216274048526
2016,博茨瓦纳,3.498021566297695
2015,博茨瓦纳,3.4691675081014224
2014,博茨瓦纳,3.432372999130605
2013,博茨瓦纳,3.3537563070620187
2012,博茨瓦纳,3.2950958507796098
2011,博茨瓦纳,3.298795448044074
2010,博茨瓦纳,3.202746442938317
2009,博茨瓦纳,3.132446096869813
2008,博茨瓦纳,3.1179499062782403
2007,博茨瓦纳,3.071303460401065
2006,博茨瓦纳,2.997231149677727
2005,博茨瓦纳,3.0430928449138284
2004,博茨瓦纳,3.1871787381249463
2003,博茨瓦纳,3.2492110246642736
2002,博茨瓦纳,3.3120018028576843
2001,博茨瓦纳,3.380314170745731
2019,巴西,2.5217206229107165
2018,巴西,2.551786178627545
2017,巴西,2.5824869781268642
2016,巴西,2.6823904543216326
2015,巴西,2.642622395779755
2014,巴西,2.6727683869575705
2013,巴西,2.703372611551099
2012,巴西,2.73696154459663
2011,巴西,2.7738379416402132
2010,巴西,2.8148097376737438
2009,巴西,2.8604851241459652
2008,巴西,2.911263116927541
2007,巴西,2.967332799032293
2006,巴西,3.0267463270831603
2005,巴西,3.090132948975475
2004,巴西,3.1552968432253294
2003,巴西,3.219675505038765
2002,巴西,3.2846635654062037
2001,巴西,3.3484995926617063
2019,保加利亚,1.728109442151599
2018,保加利亚,1.7732559976634952
2017,保加利亚,1.8180767775454285
2016,保加利亚,1.864080130807681
2015,保加利亚,1.918392120161421
2014,保加利亚,1.979621206397625
2013,保加利亚,2.046401687601636
2012,保加利亚,2.1102132003465894
2011,保加利亚,2.166765369851511
2010,保加利亚,2.206074192613202
2009,保加利亚,2.2289385528257473
2008,保加利亚,2.2512917986064953
2007,保加利亚,2.286455711064162
2006,保加利亚,2.336986519711378
2005,保加利亚,2.3997118037247684
2004,保加利亚,2.468099531471619
2003,保加利亚,2.531313022602156
2002,保加利亚,2.579458966729223
2001,保加利亚,2.617395832834079
2019,布基纳法索,3.987872317711584
2018,布基纳法索,4.012772908528289
2017,布基纳法索,4.03706849440237
2016,布基纳法索,4.060615409477973
2015,布基纳法索,4.0868162958013095
2014,布基纳法索,4.11251186617755
2013,布基纳法索,4.139158578011894
2012,布基纳法索,4.165734558308774
2011,布基纳法索,4.1935863968717495
2010,布基纳法索,4.222591181666628
2009,布基纳法索,4.254903238344689
2008,布基纳法索,4.288677031682191
2007,布基纳法索,4.323602714536165
2006,布基纳法索,4.359141762136423
2005,布基纳法索,4.392842927107731
2004,布基纳法索,4.423648309364701
2003,布基纳法索,4.450385972187225
2002,布基纳法索,4.473579765600494
2001,布基纳法索,4.493232532747227
2019,布隆迪,3.685122405236224
2018,布隆迪,3.7177098357818132
2017,布隆迪,3.752792779857589
2016,布隆迪,3.7884985191426486
2015,布隆迪,3.8273361972609523
2014,布隆迪,3.872033997211783
2013,布隆迪,3.920982746799618
2012,布隆迪,3.97198858659558
2011,布隆迪,4.025530246221741
2010,布隆迪,4.080414656688602
2009,布隆迪,4.136126096237056
2008,布隆迪,4.192227188023968
2007,布隆迪,4.249066507417651
2006,布隆迪,4.306224921257599
2005,布隆迪,4.359141762136423
2004,布隆迪,4.4075725416416205
2003,布隆迪,4.4499189007168
2002,布隆迪,4.487174627750384
2001,布隆迪,4.522005944727322
2019,柬埔寨,3.1280754605417043
2018,柬埔寨,3.167161389181522
2017,柬埔寨,3.209633243501268
2016,柬埔寨,3.2523106009544382
2015,柬埔寨,3.3021134234382563
2014,柬埔寨,3.3530570063342204
2013,柬埔寨,3.40982670836021
2012,柬埔寨,3.4747575847701837
2011,柬埔寨,3.5473158897921495
2010,柬埔寨,3.6230067099632284
2009,柬埔寨,3.697095608885277
2008,柬埔寨,3.769075996108213
2007,柬埔寨,3.8372994592322094
2006,柬埔寨,3.901366425239617
2005,柬埔寨,3.9685923569160404
2004,柬埔寨,4.042524813492304
2003,柬埔寨,4.122283930911342
2002,柬埔寨,4.208863015664693
2001,柬埔寨,4.296877159632186
2019,喀麦隆,3.9154172384961616
2018,喀麦隆,3.9433278552565585
2017,喀麦隆,3.9774361439763783
2016,喀麦隆,4.014940539434832
2015,喀麦隆,4.04917284357538
2014,喀麦隆,4.091674333666222
2013,喀麦隆,4.127295662361787
2012,喀麦隆,4.167904765330129
2011,喀麦隆,4.202899968776446
2010,喀麦隆,4.231639696410273
2009,喀麦隆,4.266475481513779
2008,喀麦隆,4.289362949810462
2007,喀麦隆,4.314550469548967
2006,喀麦隆,4.3357208817973705
2005,喀麦隆,4.358502089626924
2004,喀麦隆,4.379022125653583
2003,喀麦隆,4.403054001865957
2002,喀麦隆,4.4272389774954295
2001,喀麦隆,4.450969504910791
2019,加拿大,1.4469189829363254
2018,加拿大,1.4701758451005926
2017,加拿大,1.4906543764441336
2016,加拿大,1.5107219394949427
2015,加拿大,1.5282278570085572
2014,加拿大,1.5432981099295553
2013,加拿大,1.556037135706985
2012,加拿大,1.5665304114228238
2011,加拿大,1.5769147207285403
2010,加拿大,1.589235205116581
2009,加拿大,1.601405740736836
2008,加拿大,1.6134299337036377
2007,加拿大,1.6272778305624314
2006,加拿大,1.6389967146756448
2005,加拿大,1.6486586255873816
2004,加拿大,1.6524974018945473
2003,加拿大,1.6544112780768316
2002,加拿大,1.6544112780768316
2001,加拿大,1.6544112780768316
2019,乍得,4.235554730773624
2018,乍得,4.260423812914633
2017,乍得,4.2842759793301965
2016,乍得,4.309052634715209
2015,乍得,4.331522502500114
2014,乍得,4.3528552573736015
2013,乍得,4.373616367313912
2012,乍得,4.3943256902608985
2011,乍得,4.415098675734075
2010,乍得,4.43604122298012
2009,乍得,4.456670177669648
2008,乍得,4.47688216568656
2007,乍得,4.495913200051142
2006,乍得,4.514260310628249
2005,乍得,4.53141599739943
2004,乍得,4.547329186298241
2003,乍得,4.562993107088905
2002,乍得,4.577696208987336
2001,乍得,4.592388851623358
2019,智利,1.7867469274045107
2018,智利,1.8180767775454285
2017,智利,1.8484548129046001
2016,智利,1.8794650496471605
2015,智利,1.9095425048844386
2014,智利,1.9344157696295783
2013,智利,1.9544450515051506
2012,智利,1.969905654611529
2011,智利,1.986503546020567
2010,智利,2.004179057179289
2009,智利,2.017566137961748
2008,智利,2.0241930674493576
2007,智利,2.0255131996542803
2006,智利,2.0320878452963655
2005,智利,2.046401687601636
2004,智利,2.066862759472976
2003,智利,2.089391872533004
2002,智利,2.1198634561787513
2001,智利,2.1644717908644115
2019,中国,1.9110228900548727
2018,中国,1.9837562915454279
2017,中国,2.060513531794317
2016,中国,2.1400661634962708
2015,中国,2.2181159363675955
2014,中国,2.2975725511705014
2013,中国,2.3758355547336385
2012,中国,2.4527277514237653
2011,中国,2.5305171610400525
2010,中国,2.6071242825122494
2009,中国,2.6851226964585053
2008,中国,2.7625383863862796
2007,中国,2.8425810940598164
2006,中国,2.926382195419198
2005,中国,3.012097627640255
2004,中国,3.098288861879083
2003,中国,3.1826266921930797
2002,中国,3.263849190510932
2001,中国,3.3386125064705343
2019,哥伦比亚,2.4714836294558595
2018,哥伦比亚,2.502255288122613
2017,哥伦比亚,2.5352828571130672
2016,哥伦比亚,2.567254391136754
2015,哥伦比亚,2.5982353350950036
2014,哥伦比亚,2.6311691567662523
2013,哥伦比亚,2.663052835171474
2012,哥伦比亚,2.6953026282797072
2011,哥伦比亚,2.727199019940971
2010,哥伦比亚,2.757475084429733
2009,哥伦比亚,2.7880929087757464
2008,哥伦比亚,2.8183982582710754
2007,哥伦比亚,2.848391685655282
2006,哥伦比亚,2.87751164216656
2005,哥伦比亚,2.906354462402774
2004,哥伦比亚,2.9349201341572337
2003,哥伦比亚,2.9621754900251482
2002,哥伦比亚,2.989714201228428
2001,哥伦比亚,3.017982882488811
2019,科摩罗,3.8770173962293306
2018,科摩罗,3.905602437625223
2017,科摩罗,3.934957976710642
2016,科摩罗,3.9621456148313565
2015,科摩罗,3.9904644317347087
2014,科摩罗,4.018542848805819
2013,科摩罗,4.046379057927225
2012,科摩罗,4.072269354570243
2011,科摩罗,4.09817056705563
2010,科摩罗,4.128101659020234
2009,科摩罗,4.1530850572447005
2008,科摩罗,4.178532512647126
2007,科摩罗,4.201253877869777
2006,科摩罗,4.223909766576744
2005,科摩罗,4.242908235180575
2004,科摩罗,4.258021154702763
2003,科摩罗,4.267316996289947
2002,科摩罗,4.272072250005828
2001,科摩罗,4.274719781685373
2019,刚果,3.551053137206533
2018,刚果,3.5759906720353185
2017,刚果,3.6014134283326604
2016,刚果,3.6270040503958487
2015,刚果,3.6514371586380663
2014,刚果,3.677565694213663
2013,刚果,3.6988297849671046
2012,刚果,3.717952701599643
2011,刚果,3.7383836490170252
2010,刚果,3.763754988759043
2009,刚果,3.799078246412012
2008,刚果,3.844386356712335
2007,刚果,3.901568547524287
2006,刚果,3.965753327849114
2005,刚果,4.034417613641752
2004,刚果,4.10280864063423
2003,刚果,4.165734558308774
2002,刚果,4.2181832991257
2001,刚果,4.257454983420831
2019,哥斯达黎加,2.020222182019865
2018,哥斯达黎加,2.018895041811802
2017,哥斯达黎加,2.0162354657760435
2016,哥斯达黎加,2.018895041811802
2015,哥斯达黎加,2.0347056478384444
2014,哥斯达黎加,2.066862759472976
2013,哥斯达黎加,2.1077860146889784
2012,哥斯达黎加,2.1471001901536506
2011,哥斯达黎加,2.1838015570040787
2010,哥斯达黎加,2.214846178686039
2009,哥斯达黎加,2.2375130962503307
2008,哥斯达黎加,2.255493485460195
2007,哥斯达黎加,2.2669579153508947
2006,哥斯达黎加,2.2762411176544437
2005,哥斯达黎加,2.2844211223663744
2004,哥斯达黎加,2.2935443483418965
2003,哥斯达黎加,2.3045830956567186
2002,哥斯达黎加,2.321406847234633
2001,哥斯达黎加,2.349468678892896
2019,克罗地亚,1.3987168811184478
2018,克罗地亚,1.410986973710262
2017,克罗地亚,1.4182774069729414
2016,克罗地亚,1.425515074273172
2015,克罗地亚,1.4350845252893227
2014,克罗地亚,1.4469189829363254
2013,克罗地亚,1.4609379041156563
2012,克罗地亚,1.4816045409242156
2011,克罗地亚,1.5085119938441398
2010,克罗地亚,1.5390154481375546
2009,克罗地亚,1.5769147207285403
2008,克罗地亚,1.6174060820832772
2007,克罗地亚,1.6620303625532709
2006,克罗地亚,1.706564623164823
2005,克罗地亚,1.7544036826842861
2004,克罗地亚,1.80005827204275
2003,克罗地亚,1.8468787684491346
2002,克罗地亚,1.890095369948917
2001,克罗地亚,1.9329696377795786
2019,古巴,1.3376291891386096
2018,古巴,1.3635373739972745
2017,古巴,1.3862943611198906
2016,古巴,1.410986973710262
2015,古巴,1.4350845252893227
2014,古巴,1.4609379041156563
2013,古巴,1.4861396960896067
2012,古巴,1.5129270120532565
2011,古巴,1.541159071680806
2010,古巴,1.5706970841176697
2009,古巴,1.601405740736836
2008,古巴,1.6331544390514163
2007,古巴,1.667706820558076
2006,古巴,1.7011051009599243
2005,古巴,1.7369512327330598
2004,古巴,1.7732559976634952
2003,古巴,1.809926773183504
2002,古巴,1.8500283773520307
2001,古巴,1.888583653863595
2019,塞浦路斯,0.6097655716208943
2018,塞浦路斯,0.6523251860396901
2017,塞浦路斯,0.6981347220709843
2016,塞浦路斯,0.7466879474879751
2015,塞浦路斯,0.7975071958841882
2014,塞浦路斯,0.85015092936961
2013,塞浦路斯,0.9001613499442714
2012,塞浦路斯,0.9555114450274363
2011,塞浦路斯,1.0116009116784799
2010,塞浦路斯,1.075002423028976
2009,塞浦路斯,1.1410330045520618
2008,塞浦路斯,1.208960345836975
2007,塞浦路斯,1.2781522025001875
2006,塞浦路斯,1.3480731482996928
2005,塞浦路斯,1.415853163361435
2004,塞浦路斯,1.4838746894587547
2003,塞浦路斯,1.547562508716013
2002,塞浦路斯,1.6094379124341003
2001,塞浦路斯,1.6714733033535532
2019,丹麦,1.1755733298042381
2018,丹麦,1.205970806988609
2017,丹麦,1.2296405510745139
2016,丹麦,1.244154593958768
2015,丹麦,1.2499017362143359
2014,丹麦,1.2499017362143359
2013,丹麦,1.244154593958768
2012,丹麦,1.2383742310432684
2011,丹麦,1.235471471385307
2010,丹麦,1.244154593958768
2009,丹麦,1.2669476034873244
2008,丹麦,1.3001916620664788
2007,丹麦,1.3402504226184837
2006,丹麦,1.3837912309017721
2005,丹麦,1.4279160358107101
2004,丹麦,1.4655675420143985
2003,丹麦,1.4996230464268938
2002,丹麦,1.5238800240724537
2001,丹麦,1.541159071680806
2019,吉布提,3.8799129515099127
2018,吉布提,3.9080149840306073
2017,吉布提,3.936910720935925
2016,吉布提,3.9649948901942516
2015,吉布提,3.993602992420569
2014,吉布提,4.023206534388761
2013,吉布提,4.0505668148762055
2012,吉布提,4.077706921069077
2011,吉布提,4.106108429142343
2010,吉布提,4.133725518945951
2009,吉布提,4.160912273160771
2008,吉布提,4.1878349053094395
2007,吉布提,4.214347354616797
2006,吉布提,4.240751047315928
2005,吉布提,4.266475481513779
2004,吉布提,4.291554731509806
2003,吉布提,4.315886832169337
2002,吉布提,4.339510497570803
2001,吉布提,4.361568792771485
2019,多米尼加,3.43204984514492
2018,多米尼加,3.4111477125153233
2017,多米尼加,3.3826939100975957
2016,多米尼加,3.3474449256629084
2015,多米尼加,3.305787196857497
2014,多米尼加,3.260017768199376
2013,多米尼加,3.210440346047099
2012,多米尼加,3.159125820462427
2011,多米尼加,3.1072736482868986
2010,多米尼加,3.055415275715165
2009,多米尼加,3.0041963519661206
2008,多米尼加,2.954910279033736
2007,多米尼加,2.907447358686419
2006,多米尼加,2.8622008809294686
2005,多米尼加,2.818995095053937
2004,多米尼加,2.7788192719904172
2003,多米尼加,2.740840023925201
2002,多米尼加,2.706048198431537
2001,多米尼加,2.6741486494265287
2019,厄瓜多尔,2.488234439880675
2018,厄瓜多尔,2.50715725872282
2017,厄瓜多尔,2.5241273629412815
2016,厄瓜多尔,2.5416019934645457
2015,厄瓜多尔,2.5641798306825083
2014,厄瓜多尔,2.5922651681085
2013,厄瓜多尔,2.626840145676667
2012,厄瓜多尔,2.6665335208992764
2011,厄瓜多尔,2.70805020110221
2010,厄瓜多尔,2.751109690562657
2009,厄瓜多尔,2.7954503913830435
2008,厄瓜多尔,2.8390784635086144
2007,厄瓜多尔,2.8814431271518632
2006,厄瓜多尔,2.922623801733353
2005,厄瓜多尔,2.9621754900251482
2004,厄瓜多尔,3.0017143452315387
2003,厄瓜多尔,3.0411835364579085
2002,厄瓜多尔,3.0851158346886765
2001,厄瓜多尔,3.1328821117012247
2019,埃及,2.8524391037275145
2018,埃及,2.88703285663065
2017,埃及,2.9193910402972683
2016,埃及,2.954910279033736
2015,埃及,2.9887076586170265
2014,埃及,3.0243197304059035
